"ContentClassification__TableIdentity","ContentClassification__ProviderDomain","ContentClassification__ProviderName","ContentClassification__TableReference","ContentClassification__ContentType__@tc","ContentClassification__ContentType__#text","ContentClassification__TableName","ContentClassification__TableDescription","ContentClassification__Comments","ContentClassification__KeyWord","Table__MetaData__ScalingFactor","Table__MetaData__DataType__@tc","Table__MetaData__DataType__#text","Table__MetaData__Nation__@tc","Table__MetaData__Nation__#text","Table__MetaData__TableDescription","Table__MetaData__AxisDef__@id","Table__MetaData__AxisDef__ScaleType__@tc","Table__MetaData__AxisDef__ScaleType__#text","Table__MetaData__AxisDef__AxisName","Table__MetaData__AxisDef__MinScaleValue","Table__MetaData__AxisDef__MaxScaleValue","Table__MetaData__AxisDef__Increment","Table__Values__Axis__Y__@t","Table__Values__Axis__Y__#text"
"34060","soa.org","Bertrand Cleuvenot","Swiss Union of Private Life Insurers, reprinted by A.S.MacDonald , ""The Second Actuarial Study of Mortality in Europe"", Groupe Consultatif des Associations d’Actuaries des Pays Des Communautés Européennes (United Kingdom, 1997) Appendix. Accessed: February, 2013 from http://www.gcactuaries.org/documents/mortalitystudy1997.zip","78","Annuitant Mortality","GRM_95","1995 Gruppen Renten (Group Annuity Mortality) – Male.  Minimum Age: 15. Maximum Age: 126","Study Data: Based on the experience of Swiss insurance companies observed during the period 1986 - 90 in the group portfolio of the member companies of Union of Private Life Insurers. Methodology: Graduation by splines. Data Transcription Errors: None. Data Certified: 11/2013","Aggregate","0","2","Floating Point","41","Switzerland","1995 Gruppen Renten (Group Annuity Mortality) – Male.  Minimum Age: 15. Maximum Age: 126","Age","3","Age","Age","15","126","1","15","0.0012879"
"","","","","","","","","","Annuitant mortality","","","","","","","","","","","","","","16","0.0012890"
"","","","","","","","","","Switzerland","","","","","","","","","","","","","","17","0.0012902"
"","","","","","","","","","","","","","","","","","","","","","","","18","0.0012913"
"","","","","","","","","","","","","","","","","","","","","","","","19","0.0012924"
"","","","","","","","","","","","","","","","","","","","","","","","20","0.0012936"
"","","","","","","","","","","","","","","","","","","","","","","","21","0.0012947"
"","","","","","","","","","","","","","","","","","","","","","","","22","0.0012958"
"","","","","","","","","","","","","","","","","","","","","","","","23","0.0012970"
"","","","","","","","","","","","","","","","","","","","","","","","24","0.0012981"
"","","","","","","","","","","","","","","","","","","","","","","","25","0.0012992"
"","","","","","","","","","","","","","","","","","","","","","","","26","0.0013004"
"","","","","","","","","","","","","","","","","","","","","","","","27","0.0013015"
"","","","","","","","","","","","","","","","","","","","","","","","28","0.0013026"
"","","","","","","","","","","","","","","","","","","","","","","","29","0.0013038"
"","","","","","","","","","","","","","","","","","","","","","","","30","0.0013057"
"","","","","","","","","","","","","","","","","","","","","","","","31","0.0013146"
"","","","","","","","","","","","","","","","","","","","","","","","32","0.0013325"
"","","","","","","","","","","","","","","","","","","","","","","","33","0.0013596"
"","","","","","","","","","","","","","","","","","","","","","","","34","0.0013965"
"","","","","","","","","","","","","","","","","","","","","","","","35","0.0014436"
"","","","","","","","","","","","","","","","","","","","","","","","36","0.0015014"
"","","","","","","","","","","","","","","","","","","","","","","","37","0.0015710"
"","","","","","","","","","","","","","","","","","","","","","","","38","0.0016535"
"","","","","","","","","","","","","","","","","","","","","","","","39","0.0017501"
"","","","","","","","","","","","","","","","","","","","","","","","40","0.0018617"
"","","","","","","","","","","","","","","","","","","","","","","","41","0.0019896"
"","","","","","","","","","","","","","","","","","","","","","","","42","0.0021348"
"","","","","","","","","","","","","","","","","","","","","","","","43","0.0022990"
"","","","","","","","","","","","","","","","","","","","","","","","44","0.0024855"
"","","","","","","","","","","","","","","","","","","","","","","","45","0.0026984"
"","","","","","","","","","","","","","","","","","","","","","","","46","0.0029414"
"","","","","","","","","","","","","","","","","","","","","","","","47","0.0032187"
"","","","","","","","","","","","","","","","","","","","","","","","48","0.0035338"
"","","","","","","","","","","","","","","","","","","","","","","","49","0.0038715"
"","","","","","","","","","","","","","","","","","","","","","","","50","0.0042176"
"","","","","","","","","","","","","","","","","","","","","","","","51","0.0045778"
"","","","","","","","","","","","","","","","","","","","","","","","52","0.0049576"
"","","","","","","","","","","","","","","","","","","","","","","","53","0.0053626"
